中央,ちゅうおう
中学,ちゅうがく
中古,ちゅうこ,ちゅうぶる
中止,ちゅうし
駐車,ちゅうしゃ
昼食,ちゅうしょく,ちゅうじき,ひるげ
中心,ちゅうしん,なかご
注目,ちゅうもく
注文,ちゅうもん,ちゅうぶん
長期,ちょうき
調査,ちょうさ
調子,ちょうし
頂上,ちょうじょう
貯金,ちょきん
直接,ちょくせつ
著者,ちょしゃ
遂に,ついに
通過,つうか
通学,つうがく
通行,つうこう
通じる,つうじる
通信,つうしん
捕まる,つかまる
掴む,つかむ
疲れ,つかれ,づかれ
月,つき,げつ
付き合い,つきあい
次々,つぎつぎ
就く,つく
付ける,つける
土,つち,つし,ど,に,ト,と
続き,つづき
包み,つつみ
勤め,つとめ
務め,つとめ
繋ぐ,つなぐ
常に,つねに
翼,つばさ,よく
罪,つみ,ざい
詰める,つめる
積もる,つもる
梅雨,つゆ,ばいう
辛い,からい,つらい,ツライ,ツラい,づらい,ずらい
釣,つり
連れ,つれ,ツレ,づれ
出会い,であい
出会う,であう
提案,ていあん
定期,ていき
抵抗,ていこう
提出,ていしゅつ
程度,ていど
停留所,ていりゅうじょ,ていりゅうしょ
敵,かたき,てき
出来事,できごと
適する,てきする
適切,てきせつ
適度,てきど
適用,てきよう
出来るだけ,できるだけ
手品,てじな
鉄,てつ,くろがね
哲学,てつがく
手伝い,てつだい
徹底,てってい
鉄道,てつどう
徹夜,てつや
手間,てま
典型,てんけい
天候,てんこう
電子,でんし
伝統,でんとう
天然,てんねん
問い,とい
党,とう,たむろ,たむら
塔,とう
答案,とうあん
同一,どういつ
当時,とうじ
動詞,どうし
同時,どうじ
到着,とうちゃく
道徳,どうとく
投票,とうひょう
同様,どうよう
同僚,どうりょう
道路,どうろ
通す,とおす
通り,とおり,どおり,どうり
通り過ぎる,とおりすぎる
都会,とかい
時,とき,じ,どき
解く,とく,ほどく
毒,どく
得意,とくい
読書,どくしょ,とくしょ
独身,どくしん
特徴,とくちょう
独特,どくとく
独立,どくりつ
解ける,とける,ほどける
登山,とざん
都市,とし
年月,としつき,ねんげつ
図書,としょ,ずしょ
年寄,としより
閉じる,とじる
途端,とたん
土地,とち,どおじ,どじ,どち
突然,とつぜん
届く,とどく
飛ばす,とばす
飛び出す,とびだす
留める,とめる,とどめる
友,とも,ゆう
共に,ともに
土曜,どよう
虎,とら,トラ
取り上げる,とりあげる
努力,どりょく
取れる,とれる
泥,どろ
名,な,めい
内容,ないよう
仲,なか,すあい,すわい
流す,ながす
半ば,なかば
仲間,ちゅうげん,なかま
眺め,ながめ
眺める,ながめる
流れ,ながれ
流れる,ながれる
無し,なし
謎,なぞ
納得,なっとく
等,など,とう,ら
